tagihan_id;mahasiswa;tanggal_jatuh_tempo;is_terlambat;nominal_tagihan;nominal_harus_bayar;jenis_pembayaran;tahun_ajaran;semester_tagihan;jenis_semester;bulan_jatuh_tempo;angkatan;kode_prodi;nama_prodi;jalur_masuk;subjalur_masuk;jenis_kelamin;statusmhs_periode;is_statusmhs_periode_missing;kps_status;is_kps_status_missing;jumlah_saudara;is_jumlah_saudara_missing;penghasilan_ortu_label;is_penghasilan_ortu_missing;pendidikan_ayah_label;is_pendidikan_ayah_missing;pendidikan_ibu_label;is_pendidikan_ibu_missing;pekerjaan_ayah;is_pekerjaan_ayah_missing;pekerjaan_ibu;is_pekerjaan_ibu_missing;prev_tagihan_count;prev_late_count;prev_late_ratio;prev_cicilan_count;prev_cicilan_ratio
3217;Mahasiswa 0753;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;5;Ganjil;8;2013;57301;Sistem Informasi;UMPCR;UMPCR II;L;Unknown;1;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;0;0.0000
2563;Mahasiswa 0754;2015-08-31;0;5400000.00;5400000.00;Semester;2014/2015;4;Genap;8;2013;56401;Teknik Komputer;UMPCR;UMPCR I;P;Aktif;0;Unknown;1;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;0;0.0000
2564;Mahasiswa 0755;2015-08-31;0;5400000.00;5400000.00;Semester;2014/2015;4;Genap;8;2013;21412;Teknik Mekatronika;UMPCR;UMPCR I;L;Aktif;0;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;0;0.0000
2565;Mahasiswa 0756;2015-08-31;0;5400000.00;5400000.00;Semester;2014/2015;4;Genap;8;2013;62401;Akuntansi;PSUD;SMK;L;Aktif;0;Unknown;1;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;0;0;0.0000;0;0.0000
2566;Mahasiswa 0757;2015-08-31;0;5400000.00;5400000.00;Semester;2014/2015;2;Genap;8;2013;62401;Akuntansi;UMPCR;UMPCR II;L;Aktif;0;Unknown;0;2;0;5 Juta;0;S1;0;S1;0;Pensiunan;0;IRT;0;1;0;0.0000;0;0.0000
2568;Mahasiswa 0759;2015-08-31;0;3000000.00;5400000.00;Semester;2014/2015;4;Genap;8;2013;56401;Teknik Komputer;PSUD;SMK;L;Aktif;0;Unknown;1;3;0;5 Juta;0;S1;0;S1;0;TNI/Polri;0;IRT;0;2;0;0.0000;1;0.5000
2569;Mahasiswa 0760;2015-08-31;0;5400000.00;5400000.00;Semester;2014/2015;4;Genap;8;2013;62401;Akuntansi;UMPCR;UMPCR II;P;Aktif;0;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;0;0.0000
2570;Mahasiswa 0761;2015-08-31;0;5400000.00;5400000.00;Semester;2014/2015;4;Genap;8;2013;62401;Akuntansi;UMPCR;UMPCR II;P;Aktif;0;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;0;0.0000
2571;Mahasiswa 0762;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;57301;Sistem Informasi;UMPCR;UMPCR I;P;Aktif;0;Unknown;0;3;0;4 Juta;0;S1;0;S1;0;Karyawan Swasta;0;-;0;1;0;0.0000;0;0.0000
2572;Mahasiswa 0763;2015-08-31;0;5400000.00;5400000.00;Semester;2014/2015;4;Genap;8;2013;62401;Akuntansi;PSUD;SMU;P;Aktif;0;Unknown;1;9;0;Diatas 5 Juta;0;S1;0;S1;0;Wiraswasta;0;IRT;0;1;0;0.0000;0;0.0000
2573;Mahasiswa 0764;2015-08-31;0;3400000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;57301;Sistem Informasi;UMPCR;UMPCR I;P;Aktif;0;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;2;0;0.0000;1;0.5000
2574;Mahasiswa 0765;2015-08-31;0;3400000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;55301;Teknik Informatika;PSUD;SMU;L;Aktif;0;Unknown;1;5;0;3 Juta;0;S1;0;S1;0;Pensiunan;0;IRT;0;2;0;0.0000;1;0.5000
2575;Mahasiswa 0766;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;2;Genap;8;2013;55301;Teknik Informatika;UMPCR;UMPCR I;L;Aktif;0;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;0;0;0.0000;0;0.0000
